EmpID,Department,Gender,ExperienceYears,Salary,PerformanceRating
E35,Finance,Male,16.0,1887040.0,1.0
E24,Marketing,Male,,239873.0,5.0
E3,Finance,Female,18.0,265702.0,5.0
E4,Finance,,17.0,974735.0,4.0
E5,Engineering,Other,8.0,1429771.0,5.0
E6,Finance,Male,15.0,505722.0,4.0
E7,Marketing,Other,9.0,,1.0
E8,HR,Male,9.0,,
E9,Marketing,Male,2.0,902030.0,5.0
E10,Marketing,Male,,1726775.0,1.0
E11,Finance,Female,9.0,1480864.0,4.0
E12,Marketing,Female,14.0,339131.0,2.0
E13,Finance,Female,0.0,1852304.0,4.0
E14,Marketing,Other,13.0,1780162.0,4.0
E15,Engineering,Male,16.0,729396.0,2.0
E16,HR,Female,18.0,616644.0,5.0
,HR,Other,10.0,,3.0
,Marketing,Other,1.0,356848.0,2.0
E19,Sales,,9.0,1185791.0,2.0
E20,HR,Other,11.0,561244.0,3.0
E21,HR,Female,9.0,1350741.0,3.0
E22,Marketing,Male,12.0,615517.0,5.0
E23,Finance,Female,,1184970.0,4.0
E24,Marketing,Male,,239873.0,5.0
E25,,Male,19.0,,1.0
,Finance,Male,5.0,1109765.0,1.0
E27,HR,Other,12.0,1507439.0,3.0
E28,,Male,18.0,1203325.0,3.0
E29,Marketing,Female,10.0,615259.0,4.0
E30,Engineering,Male,0.0,504784.0,5.0
E31,Finance,Female,1.0,834611.0,2.0
E32,Engineering,,19.0,1746253.0,5.0
E33,HR,Other,9.0,909402.0,3.0
E34,,Female,20.0,1627616.0,3.0
E35,Finance,Male,16.0,1887040.0,1.0
E36,Finance,Male,20.0,358361.0,2.0
E37,Sales,Female,9.0,1127550.0,2.0
E38,Engineering,Other,13.0,1877440.0,2.0
E39,Engineering,Other,2.0,1519834.0,3.0
E40,HR,Female,5.0,1342812.0,3.0
E41,Engineering,Female,8.0,1937624.0,3.0
E42,HR,Female,11.0,1986765.0,3.0
E43,Sales,Male,19.0,1705201.0,2.0
E44,Finance,Other,14.0,1052223.0,
E45,HR,Female,,428010.0,
E46,Sales,Male,2.0,298011.0,2.0
,,Other,8.0,1593785.0,
E48,HR,Female,17.0,699799.0,1.0
